Unit,Period,Days,Account,Amount
00040302CD88,14,31,Cost of Sales - Food,29359
00040302CD88,15,30,Cost of Sales - Food,32447
00040302CD88,16,31,Cost of Sales - Food,34048
00040302CD88,17,31,Cost of Sales - Food,35234
00040302CD88,18,30,Cost of Sales - Food,38022
00040302CD88,19,31,Cost of Sales - Food,38716
00040302CD88,20,30,Cost of Sales - Food,37337
00040302CD88,21,31,Cost of Sales - Food,39325
00040302CD88,22,31,Cost of Sales - Food,37534
00040302CD88,23,28,Cost of Sales - Food,36857
00040302CD88,24,31,Cost of Sales - Food,42455
00040302CE36,1,30,Cost of Sales - Food,43201
00040302CE36,2,31,Cost of Sales - Food,50305
00040302CE36,3,30,Cost of Sales - Food,48408
00040302CE36,4,31,Cost of Sales - Food,54124
00040302CE36,5,31,Cost of Sales - Food,49236
00040302CE36,6,30,Cost of Sales - Food,46673
00040302CE36,7,31,Cost of Sales - Food,53171
00040302CE36,8,30,Cost of Sales - Food,50963
00040302CE36,9,31,Cost of Sales - Food,54205
00040302CE36,10,31,Cost of Sales - Food,51157
00040302CE36,11,28,Cost of Sales - Food,49855
00040302CE36,12,31,Cost of Sales - Food,56370
00040302CE36,13,30,Cost of Sales - Food,55700
00040302CE36,14,31,Cost of Sales - Food,56908
00040302CE36,15,30,Cost of Sales - Food,59023
00040302CE36,16,31,Cost of Sales - Food,61433
00040302CE36,17,31,Cost of Sales - Food,61458
00040302CE36,18,30,Cost of Sales - Food,61194
00040302CE36,19,31,Cost of Sales - Food,65892
00040302CE36,20,30,Cost of Sales - Food,62608
00040302CE36,21,31,Cost of Sales - Food,68852
00040302CE36,22,31,Cost of Sales - Food,60285
00040302CE36,23,28,Cost of Sales - Food,59786
00040302CE36,24,31,Cost of Sales - Food,66712
00040302CF03,1,30,Cost of Sales - Food,23555
00040302CF03,2,31,Cost of Sales - Food,27474
00040302CF03,3,30,Cost of Sales - Food,27142
00040302CF03,4,31,Cost of Sales - Food,27789
00040302CF03,5,31,Cost of Sales - Food,28084
00040302CF03,6,30,Cost of Sales - Food,27705
00040302CF03,7,31,Cost of Sales - Food,31665
00040302CF03,8,30,Cost of Sales - Food,29169
00040302CF03,9,31,Cost of Sales - Food,32651
00040302CF03,10,31,Cost of Sales - Food,31449
00040302CF03,11,28,Cost of Sales - Food,30503
00040302CF03,12,31,Cost of Sales - Food,36778
00040302CF03,13,30,Cost of Sales - Food,36997
00040302CF03,14,31,Cost of Sales - Food,38539
00040302CF03,15,30,Cost of Sales - Food,39822
00040302CF03,16,31,Cost of Sales - Food,42705
00040302CF03,17,31,Cost of Sales - Food,42993
00040302CF03,18,30,Cost of Sales - Food,43225
00040302CF03,19,31,Cost of Sales - Food,44157
00040302CF03,20,30,Cost of Sales - Food,48286
00040302CF03,21,31,Cost of Sales - Food,56321
00040302CF03,22,31,Cost of Sales - Food,45334
00040302CF03,23,28,Cost of Sales - Food,43273
00040302CF03,24,31,Cost of Sales - Food,46673
00040302CF28,1,30,Cost of Sales - Food,30401
00040302CF28,2,31,Cost of Sales - Food,35009
00040302CF28,3,30,Cost of Sales - Food,33157
00040302CF28,4,31,Cost of Sales - Food,35264
00040302CF28,5,31,Cost of Sales - Food,35600
00040302CF28,6,30,Cost of Sales - Food,34526
00040302CF28,7,31,Cost of Sales - Food,38138
00040302CF28,8,30,Cost of Sales - Food,36966
00040302CF28,9,31,Cost of Sales - Food,41057
00040302CF28,10,31,Cost of Sales - Food,38797
00040302CF28,11,28,Cost of Sales - Food,41106
00040302CF28,12,31,Cost of Sales - Food,45268
00040302CF28,13,30,Cost of Sales - Food,45150
00040302CF28,14,31,Cost of Sales - Food,53600
00040302CF28,15,30,Cost of Sales - Food,48056
00040302CF28,16,31,Cost of Sales - Food,51344
00040302CF28,17,31,Cost of Sales - Food,51289
00040302CF28,18,30,Cost of Sales - Food,54501
00040302CF28,19,31,Cost of Sales - Food,59384
00040302CF28,20,30,Cost of Sales - Food,58825
00040302CF28,21,31,Cost of Sales - Food,64937
00040302CF28,22,31,Cost of Sales - Food,56662
00040302CF28,23,28,Cost of Sales - Food,68278
00040302CF28,24,31,Cost of Sales - Food,63675
00040302D006,1,30,Cost of Sales - Food,9850
00040302D006,2,31,Cost of Sales - Food,10271
00040302D006,3,30,Cost of Sales - Food,10565
00040302D006,4,31,Cost of Sales - Food,12147
00040302D006,5,31,Cost of Sales - Food,11344
00040302D006,6,30,Cost of Sales - Food,11793
00040302D006,7,31,Cost of Sales - Food,12774
00040302D006,8,30,Cost of Sales - Food,13370
00040302D006,9,31,Cost of Sales - Food,14071
00040302D006,10,31,Cost of Sales - Food,11542
00040302D006,11,28,Cost of Sales - Food,13221
00040302D006,12,31,Cost of Sales - Food,14027
00040302D006,13,30,Cost of Sales - Food,14914
00040302D006,14,31,Cost of Sales - Food,15163
00040302D006,15,30,Cost of Sales - Food,16309
00040302D006,16,31,Cost of Sales - Food,17735
00040302D006,17,31,Cost of Sales - Food,18436
00040302D006,18,30,Cost of Sales - Food,20643
00040302D006,19,31,Cost of Sales - Food,23696
00040302D006,20,30,Cost of Sales - Food,22872
00040302D006,21,31,Cost of Sales - Food,24716
00040302D006,22,31,Cost of Sales - Food,21780
00040302D006,23,28,Cost of Sales - Food,21586
00040302D006,24,31,Cost of Sales - Food,25271
00040302D014,1,30,Cost of Sales - Food,50533
00040302D014,2,31,Cost of Sales - Food,55334
00040302D014,3,30,Cost of Sales - Food,51379
00040302D014,4,31,Cost of Sales - Food,56861
00040302D014,5,31,Cost of Sales - Food,57642
00040302D014,6,30,Cost of Sales - Food,52933
00040302D014,7,31,Cost of Sales - Food,57170
00040302D014,8,30,Cost of Sales - Food,52616
00040302D014,9,31,Cost of Sales - Food,59366
00040302D014,10,31,Cost of Sales - Food,52251
00040302D014,11,28,Cost of Sales - Food,52579
00040302D014,12,31,Cost of Sales - Food,56991
00040302D014,13,30,Cost of Sales - Food,60434
00040302D014,14,31,Cost of Sales - Food,61490
00040302D014,15,30,Cost of Sales - Food,66133
00040302D014,16,31,Cost of Sales - Food,63248
00040302D014,17,31,Cost of Sales - Food,63652
00040302D014,18,30,Cost of Sales - Food,59849
00040302D014,19,31,Cost of Sales - Food,67892
00040302D014,20,30,Cost of Sales - Food,63404
00040302D014,21,31,Cost of Sales - Food,70107
00040302D014,22,31,Cost of Sales - Food,63023
00040302D014,23,28,Cost of Sales - Food,59599
00040302D014,24,31,Cost of Sales - Food,68376
0004030A635E,1,30,Cost of Sales - Food,94368
0004030A635E,2,31,Cost of Sales - Food,106221
0004030A635E,3,30,Cost of Sales - Food,99395
0004030A635E,4,31,Cost of Sales - Food,110961
0004030A635E,5,31,Cost of Sales - Food,113432
0004030A635E,6,30,Cost of Sales - Food,103900
0004030A635E,7,31,Cost of Sales - Food,110609
0004030A635E,8,30,Cost of Sales - Food,105201
0004030A635E,9,31,Cost of Sales - Food,116619
0004030A635E,10,31,Cost of Sales - Food,107871
0004030A635E,11,28,Cost of Sales - Food,102049
0004030A635E,12,31,Cost of Sales - Food,112809
0004030A635E,13,30,Cost of Sales - Food,119142
0004030A635E,14,31,Cost of Sales - Food,122865
0004030A635E,15,30,Cost of Sales - Food,131394
0004030A635E,16,31,Cost of Sales - Food,138606
0004030A635E,17,31,Cost of Sales - Food,138788
0004030A635E,18,30,Cost of Sales - Food,136627
0004030A635E,19,31,Cost of Sales - Food,144264
0004030A635E,20,30,Cost of Sales - Food,138574
0004030A635E,21,31,Cost of Sales - Food,147381
0004030A635E,22,31,Cost of Sales - Food,131338
0004030A635E,23,28,Cost of Sales - Food,129344
0004030A635E,24,31,Cost of Sales - Food,143226
0004030B92EE,1,30,Cost of Sales - Food,66101
0004030B92EE,2,31,Cost of Sales - Food,76662
0004030B92EE,3,30,Cost of Sales - Food,75354
0004030B92EE,4,31,Cost of Sales - Food,80761
0004030B92EE,5,31,Cost of Sales - Food,73078
0004030B92EE,6,30,Cost of Sales - Food,70831
0004030B92EE,7,31,Cost of Sales - Food,76609
0004030B92EE,8,30,Cost of Sales - Food,69861
0004030B92EE,9,31,Cost of Sales - Food,73171
0004030B92EE,10,31,Cost of Sales - Food,66615
0004030B92EE,11,28,Cost of Sales - Food,66505
0004030B92EE,12,31,Cost of Sales - Food,76445
0004030B92EE,13,30,Cost of Sales - Food,73429
0004030B92EE,14,31,Cost of Sales - Food,79683
0004030B92EE,15,30,Cost of Sales - Food,77104
0004030B92EE,16,31,Cost of Sales - Food,82864
0004030B92EE,17,31,Cost of Sales - Food,86808
0004030B92EE,18,30,Cost of Sales - Food,84486
0004030B92EE,19,31,Cost of Sales - Food,88168
0004030B92EE,20,30,Cost of Sales - Food,87224
0004030B92EE,21,31,Cost of Sales - Food,96282
0004030B92EE,22,31,Cost of Sales - Food,86906
0004030B92EE,23,28,Cost of Sales - Food,88946
0004030B92EE,24,31,Cost of Sales - Food,98105
0004030BEB57,1,30,Cost of Sales - Food,90242
0004030BEB57,2,31,Cost of Sales - Food,96726
0004030BEB57,3,30,Cost of Sales - Food,79041
0004030BEB57,4,31,Cost of Sales - Food,92020
0004030BEB57,5,31,Cost of Sales - Food,88607
0004030BEB57,6,30,Cost of Sales - Food,87146
0004030BEB57,7,31,Cost of Sales - Food,92875
0004030BEB57,8,30,Cost of Sales - Food,82010
0004030BEB57,9,31,Cost of Sales - Food,94593
0004030BEB57,10,31,Cost of Sales - Food,84010
0004030BEB57,11,28,Cost of Sales - Food,80792
0004030BEB57,12,31,Cost of Sales - Food,90706
0004030BEB57,13,30,Cost of Sales - Food,93548
0004030BEB57,14,31,Cost of Sales - Food,93083
0004030BEB57,15,30,Cost of Sales - Food,99338
0004030BEB57,16,31,Cost of Sales - Food,103499
0004030BEB57,17,31,Cost of Sales - Food,99045
0004030BEB57,18,30,Cost of Sales - Food,98908
0004030BEB57,19,31,Cost of Sales - Food,101747
0004030BEB57,20,30,Cost of Sales - Food,99236
0004030BEB57,21,31,Cost of Sales - Food,108507
0004030BEB57,22,31,Cost of Sales - Food,101713
0004030BEB57,23,28,Cost of Sales - Food,98547
0004030BEB57,24,31,Cost of Sales - Food,110366
00040302CD88,1,30,Cost of Sales - Paper,2190
00040302CD88,2,31,Cost of Sales - Paper,2058
00040302CD88,3,30,Cost of Sales - Paper,2291
00040302CD88,4,31,Cost of Sales - Paper,2056
00040302CD88,5,31,Cost of Sales - Paper,2312
00040302CD88,6,30,Cost of Sales - Paper,3913
00040302CD88,7,31,Cost of Sales - Paper,2832
00040302CD88,8,30,Cost of Sales - Paper,2578
00040302CD88,9,31,Cost of Sales - Paper,2686
00040302CD88,10,31,Cost of Sales - Paper,3181
00040302CD88,11,28,Cost of Sales - Paper,3622
00040302CD88,12,31,Cost of Sales - Paper,3832
00040302CD88,13,30,Cost of Sales - Paper,3576
00040302CD88,14,31,Cost of Sales - Paper,3301
00040302CD88,15,30,Cost of Sales - Paper,3574
00040302CD88,16,31,Cost of Sales - Paper,3103
00040302CD88,17,31,Cost of Sales - Paper,4542
00040302CD88,18,30,Cost of Sales - Paper,4359
00040302CD88,19,31,Cost of Sales - Paper,3867
00040302CD88,20,30,Cost of Sales - Paper,4409
00040302CD88,21,31,Cost of Sales - Paper,5077
00040302CD88,22,31,Cost of Sales - Paper,3907
00040302CD88,23,28,Cost of Sales - Paper,4128
00040302CD88,24,31,Cost of Sales - Paper,4747
00040302CE36,1,30,Cost of Sales - Paper,4763
00040302CE36,2,31,Cost of Sales - Paper,5051
00040302CE36,3,30,Cost of Sales - Paper,5833
00040302CE36,4,31,Cost of Sales - Paper,6096
00040302CE36,5,31,Cost of Sales - Paper,5090
00040302CE36,6,30,Cost of Sales - Paper,5502
00040302CE36,7,31,Cost of Sales - Paper,6441
00040302CE36,8,30,Cost of Sales - Paper,5967
00040302CE36,9,31,Cost of Sales - Paper,5668
00040302CE36,10,31,Cost of Sales - Paper,5634
00040302CE36,11,28,Cost of Sales - Paper,6421
00040302CE36,12,31,Cost of Sales - Paper,5449
00040302CE36,13,30,Cost of Sales - Paper,7806
00040302CE36,14,31,Cost of Sales - Paper,6493
00040302CE36,15,30,Cost of Sales - Paper,6749
00040302CE36,16,31,Cost of Sales - Paper,6973
00040302CE36,17,31,Cost of Sales - Paper,6451
00040302CE36,18,30,Cost of Sales - Paper,6827
00040302CE36,19,31,Cost of Sales - Paper,6920
00040302CE36,20,30,Cost of Sales - Paper,6886
00040302CE36,21,31,Cost of Sales - Paper,7353
00040302CE36,22,31,Cost of Sales - Paper,6480
00040302CE36,23,28,Cost of Sales - Paper,6536
00040302CE36,24,31,Cost of Sales - Paper,5608
00040302CF03,1,30,Cost of Sales - Paper,2735
00040302CF03,2,31,Cost of Sales - Paper,3021
00040302CF03,3,30,Cost of Sales - Paper,3195
00040302CF03,4,31,Cost of Sales - Paper,3361
00040302CF03,5,31,Cost of Sales - Paper,3674
00040302CF03,6,30,Cost of Sales - Paper,2903
00040302CF03,7,31,Cost of Sales - Paper,3721
00040302CF03,8,30,Cost of Sales - Paper,3555
00040302CF03,9,31,Cost of Sales - Paper,3660
00040302CF03,10,31,Cost of Sales - Paper,3592
00040302CF03,11,28,Cost of Sales - Paper,4070
00040302CF03,12,31,Cost of Sales - Paper,4400
00040302CF03,13,30,Cost of Sales - Paper,4505
00040302CF03,14,31,Cost of Sales - Paper,4907
00040302CF03,15,30,Cost of Sales - Paper,4433
00040302CF03,16,31,Cost of Sales - Paper,5139
00040302CF03,17,31,Cost of Sales - Paper,5255
00040302CF03,18,30,Cost of Sales - Paper,4582
00040302CF03,19,31,Cost of Sales - Paper,4989
00040302CF03,20,30,Cost of Sales - Paper,6678
00040302CF03,21,31,Cost of Sales - Paper,7097
00040302CF03,22,31,Cost of Sales - Paper,5215
00040302CF03,23,28,Cost of Sales - Paper,4797
00040302CF03,24,31,Cost of Sales - Paper,4482
00040302CF28,1,30,Cost of Sales - Paper,3708
00040302CF28,2,31,Cost of Sales - Paper,4068
00040302CF28,3,30,Cost of Sales - Paper,4393
00040302CF28,4,31,Cost of Sales - Paper,4464
00040302CF28,5,31,Cost of Sales - Paper,4168
00040302CF28,6,30,Cost of Sales - Paper,3981
00040302CF28,7,31,Cost of Sales - Paper,4053
00040302CF28,8,30,Cost of Sales - Paper,4540
00040302CF28,9,31,Cost of Sales - Paper,4568
00040302CF28,10,31,Cost of Sales - Paper,4473
00040302CF28,11,28,Cost of Sales - Paper,5262
00040302CF28,12,31,Cost of Sales - Paper,5896
00040302CF28,13,30,Cost of Sales - Paper,6510
00040302CF28,14,31,Cost of Sales - Paper,6362
00040302CF28,15,30,Cost of Sales - Paper,5782
00040302CF28,16,31,Cost of Sales - Paper,5373
00040302CF28,17,31,Cost of Sales - Paper,6479
00040302CF28,18,30,Cost of Sales - Paper,7647
00040302CF28,19,31,Cost of Sales - Paper,6822
00040302CF28,20,30,Cost of Sales - Paper,6384
00040302CF28,21,31,Cost of Sales - Paper,8518
00040302CF28,22,31,Cost of Sales - Paper,6560
00040302CF28,23,28,Cost of Sales - Paper,8477
00040302CF28,24,31,Cost of Sales - Paper,8077
00040302D006,1,30,Cost of Sales - Paper,1127
00040302D006,2,31,Cost of Sales - Paper,1053
00040302D006,3,30,Cost of Sales - Paper,1337
00040302D006,4,31,Cost of Sales - Paper,1391
00040302D006,5,31,Cost of Sales - Paper,1440
00040302D006,6,30,Cost of Sales - Paper,1410
00040302D006,7,31,Cost of Sales - Paper,1683
00040302D006,8,30,Cost of Sales - Paper,1417
00040302D006,9,31,Cost of Sales - Paper,1183
00040302D006,10,31,Cost of Sales - Paper,1183
00040302D006,11,28,Cost of Sales - Paper,1605
00040302D006,12,31,Cost of Sales - Paper,2277
00040302D006,13,30,Cost of Sales - Paper,2046
00040302D006,14,31,Cost of Sales - Paper,2161
00040302D006,15,30,Cost of Sales - Paper,1964
00040302D006,16,31,Cost of Sales - Paper,3696
00040302D006,17,31,Cost of Sales - Paper,2186
00040302D006,18,30,Cost of Sales - Paper,2991
00040302D006,19,31,Cost of Sales - Paper,2685
00040302D006,20,30,Cost of Sales - Paper,2810
00040302D006,21,31,Cost of Sales - Paper,779
00040302D006,22,31,Cost of Sales - Paper,2754
00040302D006,23,28,Cost of Sales - Paper,2501
00040302D006,24,31,Cost of Sales - Paper,3125
00040302D014,1,30,Cost of Sales - Paper,4478
00040302D014,2,31,Cost of Sales - Paper,5718
00040302D014,3,30,Cost of Sales - Paper,5529
00040302D014,4,31,Cost of Sales - Paper,5684
00040302D014,5,31,Cost of Sales - Paper,6330
00040302D014,6,30,Cost of Sales - Paper,5483
00040302D014,7,31,Cost of Sales - Paper,6280
00040302D014,8,30,Cost of Sales - Paper,5485
00040302D014,9,31,Cost of Sales - Paper,5830
00040302D014,10,31,Cost of Sales - Paper,5370
00040302D014,11,28,Cost of Sales - Paper,5777
00040302D014,12,31,Cost of Sales - Paper,6623
00040302D014,13,30,Cost of Sales - Paper,6826
00040302D014,14,31,Cost of Sales - Paper,6369
00040302D014,15,30,Cost of Sales - Paper,7125
00040302D014,16,31,Cost of Sales - Paper,6733
00040302D014,17,31,Cost of Sales - Paper,6466
00040302D014,18,30,Cost of Sales - Paper,6351
00040302D014,19,31,Cost of Sales - Paper,6905
00040302D014,20,30,Cost of Sales - Paper,6532
00040302D014,21,31,Cost of Sales - Paper,7171
00040302D014,22,31,Cost of Sales - Paper,6852
00040302D014,23,28,Cost of Sales - Paper,6070
00040302D014,24,31,Cost of Sales - Paper,6986
0004030A635E,1,30,Cost of Sales - Paper,10117
0004030A635E,2,31,Cost of Sales - Paper,11360
0004030A635E,3,30,Cost of Sales - Paper,11042
0004030A635E,4,31,Cost of Sales - Paper,11629
0004030A635E,5,31,Cost of Sales - Paper,12331
0004030A635E,6,30,Cost of Sales - Paper,11687
0004030A635E,7,31,Cost of Sales - Paper,11196
0004030A635E,8,30,Cost of Sales - Paper,11455
0004030A635E,9,31,Cost of Sales - Paper,12134
0004030A635E,10,31,Cost of Sales - Paper,12059
0004030A635E,11,28,Cost of Sales - Paper,12427
0004030A635E,12,31,Cost of Sales - Paper,13150
0004030A635E,13,30,Cost of Sales - Paper,14446
0004030A635E,14,31,Cost of Sales - Paper,14312
0004030A635E,15,30,Cost of Sales - Paper,14358
0004030A635E,16,31,Cost of Sales - Paper,14733
0004030A635E,17,31,Cost of Sales - Paper,14935
0004030A635E,18,30,Cost of Sales - Paper,14270
0004030A635E,19,31,Cost of Sales - Paper,15690
0004030A635E,20,30,Cost of Sales - Paper,14678
0004030A635E,21,31,Cost of Sales - Paper,15281
0004030A635E,22,31,Cost of Sales - Paper,14219
0004030A635E,23,28,Cost of Sales - Paper,12864
0004030A635E,24,31,Cost of Sales - Paper,13304
0004030B92EE,1,30,Cost of Sales - Paper,6988
0004030B92EE,2,31,Cost of Sales - Paper,8082
0004030B92EE,3,30,Cost of Sales - Paper,8490
0004030B92EE,4,31,Cost of Sales - Paper,8067
0004030B92EE,5,31,Cost of Sales - Paper,7613
0004030B92EE,6,30,Cost of Sales - Paper,7747
0004030B92EE,7,31,Cost of Sales - Paper,8957
0004030B92EE,8,30,Cost of Sales - Paper,7553
0004030B92EE,9,31,Cost of Sales - Paper,8230
0004030B92EE,10,31,Cost of Sales - Paper,6680
0004030B92EE,11,28,Cost of Sales - Paper,7633
0004030B92EE,12,31,Cost of Sales - Paper,9416
0004030B92EE,13,30,Cost of Sales - Paper,8459
